#At time x allocated y bytes for process z from i to j
At time 11 allocated 256 bytes for process 1 from 0 to 255
At time 18 allocated 170 bytes for process 2 from 256 to 511
At time 19 freed 256 bytes from process 1 from 0 to 255
At time 24 allocated 128 bytes for process 3 from 0 to 127
At time 29 allocated 60 bytes for process 4 from 128 to 191
At time 30 allocated 248 bytes for process 5 from 512 to 767
At time 32 allocated 64 bytes for process 6 from 192 to 255
At time 37 freed 128 bytes from process 3 from 0 to 127
At time 40 allocated 200 bytes for process 7 from 768 to 1023
At time 42 freed 200 bytes from process 7 from 768 to 1023
At time 54 freed 170 bytes from process 2 from 256 to 511
At time 72 freed 64 bytes from process 6 from 192 to 255
At time 94 freed 248 bytes from process 5 from 512 to 767
At time 120 freed 60 bytes from process 4 from 128 to 191
